	moduleColor	GS.Subtypes_num	p.GS.Subtypes_num	MM.blue	p.MM.blue	MM.brown	p.MM.brown	MM.grey	p.MM.grey	MM.turquoise	p.MM.turquoise
LMO3|55885	turquoise	0.101272480138273	0.148499414216642	-0.565479012294017	1.01305253534648e-18	0.290559426793109	2.3758707641827e-05	-0.215112484577091	0.00195191822234907	0.679082606257231	4.53965670133596e-29
AGPAT9|84803	turquoise	0.0984852148589787	0.16005427949634	-0.598172988447054	2.78543396747624e-21	0.487778796789356	1.18981234011764e-13	-0.267351022724858	0.00010651279093362	0.701144487231347	1.20015274749264e-31
CCBE1|147372	turquoise	-0.0978829885817088	0.16263722150125	-0.60033785883668	1.84036999918751e-21	0.413983751073135	6.8219437603206e-10	-0.129194929420114	0.0648597036529644	0.734502125400441	4.9924805579931e-36
ST6GALNAC1|55808	turquoise	-0.0971852205690321	0.165668826655444	-0.560201716162283	2.47102129242416e-18	0.469686434511057	1.20791909320594e-12	-0.0652196333752486	0.352846234466558	0.670775791069561	3.71651238895378e-28
C14orf139|79686	turquoise	-0.0970422461826315	0.166295186294235	-0.782587423964232	1.17178267161179e-43	0.498530818051177	2.80954240086567e-14	-0.210404847856986	0.00246105747615359	0.943780755968478	1.52599438688832e-99
ITGA7|3679	turquoise	-0.0961988492844658	0.170026051370067	-0.809652970768369	7.21280971954369e-49	0.492373736275843	6.46064086085294e-14	-0.220695514830537	0.00147347245070506	0.922411527193212	8.07576695021097e-86
SEMA3D|223117	turquoise	0.0950464431094078	0.175224049889326	-0.643142082665947	2.54505942341924e-25	0.666067088631926	1.18773626188439e-27	-0.0757691694102844	0.280245149291293	0.707935253940076	1.72806359064008e-32
LHCGR|3973	turquoise	-0.0949047362080046	0.175871266618443	-0.705037439015127	3.9779549186236e-32	0.344535636485174	4.22401784883672e-07	-0.186555919394872	0.00739979453366496	0.843057706987765	1.38277972034345e-56
HIST1H2AM|8336	turquoise	0.0946534740958881	0.177023201582214	0.722746946501866	2.06625602869823e-34	-0.547423715455611	2.00710785685148e-17	0.111511547959345	0.111427820733167	-0.742953192106641	3.03203044902595e-37
CA3|761	turquoise	0.0944485335239431	0.177966894771119	-0.760435612210004	6.41013350279584e-40	0.603194722939652	1.05995535744678e-21	-0.240601079909432	0.00051083966933628	0.832857993339465	4.75247853784564e-54
FRMD3|257019	turquoise	0.0940912630748042	0.179620903330737	-0.676623932353976	8.51931718291529e-29	0.556543177262262	4.54284506839838e-18	-0.246179309243805	0.000373525468554514	0.754170034197924	6.18453107715068e-39
HOXA3|3200	turquoise	0.0937916322729024	0.181016787106151	-0.713369744805622	3.51879061442293e-33	0.773100138895204	5.26753515712053e-42	-0.150905684305195	0.0307871739743922	0.769341589563445	2.2613029468477e-41
ABCA12|26154	turquoise	-0.0921853809086277	0.18863628671441	0.450555060221727	1.21333416852897e-11	-0.160820133251757	0.0212491359876742	0.299684856968435	1.26918796015919e-05	-0.489600945006972	9.34942525802315e-14
